quote_number,quote_revision,item_id,workflow_status,part_number,revision,description,type,material,process,is_fully_configured,part_uuid,export_controlled,quantity,unit_price,total_price,total_price_with_add_ons,lead_time
7914,,7422329,not_started,0040-21188,01,WALL RIGHT SECONDARY ENCLOSURE,manufactured,CRS,SM - Piece W/HDWE,True,f4986530-3c03-4061-91c1-d3b1d7967ee6,False,4,280.0,1120.0,2920.0,41
7914,,7422329,not_started,0040-21188,01,WALL RIGHT SECONDARY ENCLOSURE,manufactured,CRS,SM - Piece W/HDWE,True,f4986530-3c03-4061-91c1-d3b1d7967ee6,False,6,234.0,1404.0,3204.0,41
7915,,7422389,not_started,0041-40035,01,ENCLOSURE THRU-THE WALL MONITOR & KYBRD,assembled,,,False,9151f8e0-b2ae-4881-bd43-36ce40922489,False,1,0.0,0.0,0.0,0
7915,,7422389,not_started,0041-40035,01,ENCLOSURE THRU-THE WALL MONITOR & KYBRD,assembled,,,False,9151f8e0-b2ae-4881-bd43-36ce40922489,False,2,0.0,0.0,0.0,0
7915,,7422389,not_started,0041-40035,01,ENCLOSURE THRU-THE WALL MONITOR & KYBRD,assembled,,,False,9151f8e0-b2ae-4881-bd43-36ce40922489,False,4,0.0,0.0,0.0,0
7915,,7422389,not_started,0041-40035,01,ENCLOSURE THRU-THE WALL MONITOR & KYBRD,assembled,,,False,9151f8e0-b2ae-4881-bd43-36ce40922489,False,6,0.0,0.0,0.0,0
7916,,7422432,not_started,450-075-235-105,A,PANEL ASSY,manufactured,,,False,b9340163-2aad-4f54-9898-f0312ab6fad6,True,5,0.0,0.0,0.0,0
7917,,7422746,completed,20726GB03101B,B,RATU LINK,manufactured,CRS,MS - Lathe,True,e4fa9d24-b037-49fe-972e-f68da03b27bf,True,2,347.0,694.0,1494.0,58
7918,,7439820,not_started,E17783100,B,"E11127390-FITTING ASSY,AIR BEARING INPUT",manufactured,,,False,5ee31aa1-c822-4a54-b08b-1e210acefe99,False,517,0.0,0.0,0.0,0
7919,,7422927,not_started,0022-66323,04,"RF STRAP HGB, 300MM PRODUCER",manufactured,Copper 110,SM - Piece,True,e7edf22f-ac66-48ca-b5ca-6af1986b0fc3,False,1,589.0,589.0,1189.0,62
7919,,7422927,not_started,0022-66323,04,"RF STRAP HGB, 300MM PRODUCER",manufactured,Copper 110,SM - Piece,True,e7edf22f-ac66-48ca-b5ca-6af1986b0fc3,False,5,127.0,635.0,1235.0,62
7919,,7422927,not_started,0022-66323,04,"RF STRAP HGB, 300MM PRODUCER",manufactured,Copper 110,SM - Piece,True,e7edf22f-ac66-48ca-b5ca-6af1986b0fc3,False,10,69.3,693.0,1293.0,62
7919,,7422927,not_started,0022-66323,04,"RF STRAP HGB, 300MM PRODUCER",manufactured,Copper 110,SM - Piece,True,e7edf22f-ac66-48ca-b5ca-6af1986b0fc3,False,15,50.07,751.05,1351.05,62
7919,,7422927,not_started,0022-66323,04,"RF STRAP HGB, 300MM PRODUCER",manufactured,Copper 110,SM - Piece,True,e7edf22f-ac66-48ca-b5ca-6af1986b0fc3,False,20,40.45,809.0,1409.0,62
