ID,ModelID,Name,IsActive,Type,CrossFilteringBehavior,JoinOnDateBehavior,RelyOnReferentialIntegrity,FromTableID,FromColumnID,FromCardinality,ToTableID,ToColumnID,ToCardinality,State,RelationshipStorageID,RelationshipStorage2ID,ModifiedTime,RefreshedTime,SecurityFilteringBehavior
347,1,"b2428141-63d1-4a3a-972f-5e7b1889c7af",True,1,1,2,False,105,935,2,117,936,1,1,13500,,5/13/2025 2:11:22 AM,5/13/2025 2:11:22 AM,1
348,1,"d14e130b-debb-48ea-81ce-14ba0b7e6d8a",True,1,1,2,False,120,945,2,123,946,1,1,13502,,5/13/2025 7:31:25 PM,5/13/2025 7:31:25 PM,1
349,1,"72c74604-34a6-4b5a-b109-5513c4436e2f",True,1,1,2,False,120,960,2,126,961,1,1,13504,,5/13/2025 7:31:25 PM,5/13/2025 7:31:25 PM,1
350,1,"93730eb5-bc98-4608-a259-d6f6c6b4580b",True,1,1,2,False,120,968,2,129,969,1,1,13506,,5/13/2025 7:31:25 PM,5/13/2025 7:31:25 PM,1
351,1,"652994fb-63b9-4c6d-a11e-15e5ca389674",True,1,1,2,False,120,976,2,132,977,1,1,13508,,5/13/2025 7:31:25 PM,5/13/2025 7:31:25 PM,1
352,1,"b354d4c2-e25a-461f-a136-b96db83a9546",True,1,1,2,False,120,984,2,135,985,1,1,13510,,5/13/2025 7:31:25 PM,5/13/2025 7:31:25 PM,1
353,1,"aeebce50-0aef-4ad7-a21b-1461df6f669d",True,1,1,2,False,120,1005,2,138,1006,1,1,13512,,5/13/2025 7:31:25 PM,5/13/2025 7:31:25 PM,1
354,1,"dfee8fc6-d2ad-4e43-b61c-44510e23e544",True,1,1,2,False,120,1015,2,141,1016,1,1,13514,,5/13/2025 7:31:25 PM,5/13/2025 7:31:25 PM,1
355,1,"a825cee3-ae33-46d2-9d5e-14375fd58df1",True,1,1,2,False,120,1036,2,144,1037,1,1,13516,,5/13/2025 7:31:25 PM,5/13/2025 7:31:25 PM,1
356,1,"798d3693-2d7c-4d20-807b-dc6ad38f4e67",True,1,1,2,False,120,1047,2,147,1048,1,1,13518,,5/13/2025 7:31:25 PM,5/13/2025 7:31:25 PM,1
357,1,"6a1c88cd-d98f-433b-94f1-b46b7f42868f",True,1,1,2,False,120,1069,2,150,1070,1,1,13520,,5/13/2025 7:31:25 PM,5/13/2025 7:31:25 PM,1
358,1,"900039f5-10da-4bc0-bbf4-c61d47cae1de",True,1,1,2,False,120,1078,2,153,1079,1,1,13522,,5/13/2025 7:31:25 PM,5/13/2025 7:31:25 PM,1
359,1,"0f8e7ab2-7f49-4c5b-9c0e-b46609d70ebb",True,1,1,2,False,156,1098,2,159,1099,1,1,13524,,5/13/2025 2:11:22 AM,5/13/2025 2:11:22 AM,1
360,1,"a2151d24-e790-4774-aa1a-8121e4632c67",True,1,1,2,False,156,1124,2,162,1125,1,1,13526,,5/13/2025 2:11:22 AM,5/13/2025 2:11:22 AM,1
361,1,"b69c7379-1e72-4f4f-92d9-916b43578349",True,1,1,2,False,156,1132,2,165,1133,1,1,13528,,5/13/2025 2:11:22 AM,5/13/2025 2:11:22 AM,1
362,1,"0da953fc-2c38-405d-be53-c06b0acf6a47",True,1,1,2,False,168,1145,2,171,1146,1,1,13530,,5/13/2025 2:11:23 AM,5/13/2025 2:11:23 AM,1
363,1,"2d2f0bab-a258-47cf-befe-31f14b43f271",True,1,1,2,False,168,1153,2,174,1154,1,1,13532,,5/13/2025 2:11:23 AM,5/13/2025 2:11:23 AM,1
364,1,"3cb51cd8-6caa-4f46-8ede-35052f31b14d",True,1,1,2,False,168,1161,2,177,1162,1,1,13534,,5/13/2025 2:11:23 AM,5/13/2025 2:11:23 AM,1
365,1,"795e3bac-64de-4235-8e29-28ec40d3fa12",True,1,1,2,False,168,1181,2,180,1182,1,1,13536,,5/13/2025 2:11:24 AM,5/13/2025 2:11:24 AM,1
366,1,"8e291b0f-9d55-4480-afe9-b8ad07de38d6",True,1,1,2,False,168,1193,2,183,1194,1,1,13538,,5/13/2025 2:11:23 AM,5/13/2025 2:11:23 AM,1
367,1,"2b5f765c-fd8a-4fc2-b601-7f441e18fa06",True,1,1,2,False,168,1201,2,186,1202,1,1,13540,,5/13/2025 2:11:23 AM,5/13/2025 2:11:23 AM,1
